"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CCSF-390-U1557-AB-20220529-Shipboard2 (m)","Magnetic susceptibility (instr. units)","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Sample comments","Test comments","Result comments"
"390C","U1557","A","1","H","3","","39.3","3.393","7.493","82.50","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","41.8","3.418","7.518","83.43","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","44.3","3.443","7.543","81.49","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","46.8","3.468","7.568","77.93","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","49.3","3.493","7.593","74.85","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","51.8","3.518","7.618","71.76","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","54.3","3.543","7.643","68.82","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","56.8","3.568","7.668","66.35","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","59.3","3.593","7.693","65.08","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","61.8","3.618","7.718","65.05","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","64.3","3.643","7.743","65.03","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","66.8","3.668","7.768","65.06","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","69.3","3.693","7.793","65.16","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","71.8","3.718","7.818","65.21","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","74.3","3.743","7.843","65.27","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","76.8","3.768","7.868","64.65","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","79.3","3.793","7.893","64.80","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","81.8","3.818","7.918","65.49","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","84.3","3.843","7.943","65.61","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","86.8","3.868","7.968","65.40","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","89.3","3.893","7.993","65.87","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","91.8","3.918","8.018","67.34","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","94.3","3.943","8.043","68.55","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","96.8","3.968","8.068","70.02","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","99.3","3.993","8.093","72.51","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","101.8","4.018","8.118","75.91","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","104.3","4.043","8.143","79.98","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","106.8","4.068","8.168","83.36","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","109.3","4.093","8.193","86.65","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","111.8","4.118","8.218","89.96","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","114.3","4.143","8.243","91.38","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","116.8","4.168","8.268","91.43","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","119.3","4.193","8.293","91.33","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","121.8","4.218","8.318","90.07","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","124.3","4.243","8.343","87.55","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","126.8","4.268","8.368","84.04","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","129.3","4.293","8.393","79.10","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","131.8","4.318","8.418","73.62","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","134.3","4.343","8.443","70.04","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","136.8","4.368","8.468","70.49","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","139.3","4.393","8.493","75.79","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","141.8","4.418","8.518","83.66","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","144.3","4.443","8.543","87.17","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","3","","146.8","4.468","8.568","77.94","2020-11-02 02:49:09","MS3-V0.0.0.0-0656","WRMSL","SECT10854211","118808311","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","4.0","4.540","8.640","48.21","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","6.5","4.565","8.665","44.95","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","9.0","4.590","8.690","42.43","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","11.5","4.615","8.715","37.84","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","14.0","4.640","8.740","35.36","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","16.5","4.665","8.765","34.79","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","19.0","4.690","8.790","36.49","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","21.5","4.715","8.815","37.80","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","24.0","4.740","8.840","42.27","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","26.5","4.765","8.865","41.27","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","29.0","4.790","8.890","38.66","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","31.5","4.815","8.915","38.71","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","34.0","4.840","8.940","42.06","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","36.5","4.865","8.965","43.92","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","39.0","4.890","8.990","49.66","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","41.5","4.915","9.015","62.54","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","44.0","4.940","9.040","67.95","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","46.5","4.965","9.065","70.56","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","49.0","4.990","9.090","72.97","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","51.5","5.015","9.115","74.54","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","54.0","5.040","9.140","75.01","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","56.5","5.065","9.165","74.77","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","59.0","5.090","9.190","74.94","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","61.5","5.115","9.215","75.19","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","64.0","5.140","9.240","75.88","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","66.5","5.165","9.265","76.84","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","69.0","5.190","9.290","77.30","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","71.5","5.215","9.315","77.45","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","74.0","5.240","9.340","77.86","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","76.5","5.265","9.365","78.19","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","79.0","5.290","9.390","78.43","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","81.5","5.315","9.415","78.57","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","84.0","5.340","9.440","78.69","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","86.5","5.365","9.465","78.94","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","89.0","5.390","9.490","79.33","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","91.5","5.415","9.515","79.85","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","94.0","5.440","9.540","79.95","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","96.5","5.465","9.565","80.07","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","99.0","5.490","9.590","80.26","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","101.5","5.515","9.615","80.74","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","104.0","5.540","9.640","81.45","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","106.5","5.565","9.665","81.58","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","109.0","5.590","9.690","81.50","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","111.5","5.615","9.715","81.62","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","114.0","5.640","9.740","82.04","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","116.5","5.665","9.765","82.23","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","119.0","5.690","9.790","82.30","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","121.5","5.715","9.815","81.70","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","124.0","5.740","9.840","81.78","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","126.5","5.765","9.865","84.28","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","129.0","5.790","9.890","87.40","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","131.5","5.815","9.915","89.47","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","134.0","5.840","9.940","89.14","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","136.5","5.865","9.965","86.84","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","139.0","5.890","9.990","83.72","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","141.5","5.915","10.015","81.83","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","144.0","5.940","10.040","80.64","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","4","","146.5","5.965","10.065","78.01","2020-11-02 02:56:20","MS3-V0.0.0.0-0656","WRMSL","SECT10854241","118808341","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","3.2","6.042","10.142","74.15","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","5.7","6.067","10.167","75.29","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","8.2","6.092","10.192","75.82","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","10.7","6.117","10.217","75.41","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","13.2","6.142","10.242","75.55","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","15.7","6.167","10.267","72.55","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","18.2","6.192","10.292","68.83","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","20.7","6.217","10.317","68.76","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","23.2","6.242","10.342","74.67","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","25.7","6.267","10.367","83.67","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","28.2","6.292","10.392","92.53","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","30.7","6.317","10.417","96.42","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","33.2","6.342","10.442","94.54","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","35.7","6.367","10.467","89.73","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","38.2","6.392","10.492","85.74","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","40.7","6.417","10.517","82.93","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","43.2","6.442","10.542","81.83","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","45.7","6.467","10.567","81.82","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","48.2","6.492","10.592","81.84","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","50.7","6.517","10.617","81.58","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","53.2","6.542","10.642","80.53","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","55.7","6.567","10.667","79.53","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","58.2","6.592","10.692","76.85","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","60.7","6.617","10.717","69.25","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","63.2","6.642","10.742","59.44","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","A","1","H","5","","65.7","6.667","10.767","55.37","2020-11-02 03:03:16","MS3-V0.0.0.0-0656","WRMSL","SECT10854271","118808381","MISSED MUDLINE","",""
"390C","U1557","B","2","H","2","","72.7","6.327","10.787","52.64","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","75.2","6.352","10.812","48.22","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","77.7","6.377","10.837","45.20","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","80.2","6.402","10.862","42.50","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","82.7","6.427","10.887","41.05","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","85.2","6.452","10.912","43.89","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
"390C","U1557","B","2","H","2","","87.7","6.477","10.937","50.37","2020-11-02 05:23:40","MS3-V0.0.0.0-0656","WRMSL","SECT10854731","118808881","","",""
